Date,Page,Location
6/26/2009,63,1522
6/29/2009,94,2233
7/3/2009,137,3236
7/6/2009,168,3900
7/10/2009,210,4844
7/13/2009,242,5561
7/17/2009,284,6545
7/20/2009,316,7250
7/24/2009,358,8174
7/27/2009,390,8869
7/31/2009,432,9832
8/3/2009,464,10556
8/7/2009,506,11510
8/10/2009,537,12243
8/14/2009,580,13233
8/17/2009,611,13925
8/21/2009,653,14900
8/24/2009,685,15628
8/28/2009,727,16554
8/31/2009,759,17293
9/4/2009,801,18315
9/7/2009,833,19021
9/11/2009,875,19972
9/14/2009,907,20767
9/18/2009,949,21708
9/21/2009,981,22403